old_la_code,la_name,region_ind,region_name,SN_1,SN_1P,SN_2,SN_2P,SN_3,SN_3P,SN_4,SN_4P,SN_5,SN_5P,SN_6,SN_6P,SN_7,SN_7P,SN_8,SN_8P,SN_9,SN_9P,SN_10,SN_10P
826,Milton Keynes,6,South East,822,Very close,303,Very close,882,Very close,870,Very close,839,Very close,311,Very close,919,Close ,886,Close ,319,Close ,383,Close 
391,Newcastle upon Tyne,4,North East,355,Very close,373,Close ,806,Close ,851,Close ,892,Close ,383,Close ,330,Close ,852,Close ,352,Close ,890,Close 
316,Newham,3,London,304,Close ,301,Somewhat close,308,Somewhat close,856,Somewhat close,309,Somewhat close,821,Somewhat close,307,Somewhat close,313,Not close,352,Not close,871,Not close
926,Norfolk,2,East of England,935,Very close,908,Very close,878,Very close,830,Very close,929,Very close,886,Very close,933,Very close,925,Very close,891,Very close,887,Very close
812,North East Lincolnshire,9,Yorkshire and The Humber,371,Very close,861,Very close,372,Very close,894,Very close,335,Close ,384,Close ,841,Close ,370,Close ,807,Close ,357,Close 
813,North Lincolnshire,9,Yorkshire and The Humber,384,Very close,925,Very close,371,Very close,370,Very close,940,Very close,332,Very close,942,Close ,372,Close ,894,Close ,888,Close 
940,North Northamptonshire,1,East Midlands,866,Very close,941,Very close,935,Very close,925,Very close,933,Very close,883,Very close,891,Very close,813,Very close,887,Very close,384,Very close
802,North Somerset,7,South West,850,Very close,916,Very close,865,Very close,937,Very close,855,Very close,881,Very close,938,Very close,803,Very close,891,Very close,886,Very close
392,North Tyneside,4,North East,351,Very close,891,Very close,808,Very close,802,Very close,841,Close ,888,Close ,334,Close ,908,Close ,390,Close ,886,Close 
815,North Yorkshire,9,Yorkshire and The Humber,893,Extremely close,895,Very close,811,Very close,860,Very close,916,Very close,877,Very close,937,Very close,884,Very close,865,Very close,933,Very close
929,Northumberland,4,North East,926,Very close,830,Very close,888,Very close,908,Very close,878,Very close,840,Very close,838,Very close,886,Very close,885,Very close,935,Very close
892,Nottingham,1,East Midlands,330,Very close,352,Very close,391,Close ,806,Close ,380,Close ,333,Somewhat close,852,Somewhat close,353,Somewhat close,373,Somewhat close,355,Somewhat close
891,Nottinghamshire,1,East Midlands,830,Extremely close,935,Very close,933,Very close,886,Very close,926,Very close,937,Very close,855,Very close,802,Very close,860,Very close,888,Very close
353,Oldham,5,North West,889,Very close,350,Very close,354,Very close,380,Close ,335,Close ,831,Close ,861,Close ,331,Close ,330,Close ,333,Close 
931,Oxfordshire,6,South East,873,Extremely close,919,Very close,825,Very close,937,Very close,916,Very close,850,Very close,867,Very close,938,Very close,869,Very close,803,Very close
874,Peterborough,2,East of England,331,Very close,831,Very close,312,Close ,350,Close ,852,Close ,335,Close ,821,Close ,354,Close ,336,Close ,883,Close 
879,Plymouth,7,South West,357,Very close,880,Very close,894,Very close,332,Very close,372,Very close,384,Very close,382,Close ,390,Close ,887,Close ,908,Close 
851,Portsmouth,6,South East,373,Very close,383,Very close,382,Very close,355,Very close,852,Very close,882,Close ,879,Close ,831,Close ,390,Close ,357,Close 
870,Reading,6,South East,826,Very close,302,Close ,312,Close ,315,Close ,822,Close ,306,Close ,320,Close ,383,Close ,852,Close ,310,Close 
317,Redbridge,3,London,310,Very close,312,Very close,320,Very close,307,Close ,313,Close ,302,Close ,871,Close ,870,Close ,852,Close ,821,Somewhat close
807,Redcar and Cleveland,4,North East,394,Very close,393,Very close,805,Very close,372,Very close,390,Very close,840,Very close,370,Very close,357,Very close,371,Very close,880,Very close
318,Richmond upon Thames,3,London,868,Close ,314,Close ,936,Close ,872,Close ,305,Somewhat close,358,Somewhat close,825,Somewhat close,919,Somewhat close,800,Somewhat close,869,Somewhat close
