time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,Six half terms,CPPO at 31 March,Total,128,45657,5496,12,1906,4.2,3590,7.9,47,36.7,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,Six half terms,CPPO at 31 March,State-funded secondary,42,14141,2687,19,691,4.9,1996,14.1,21,50,7,16.7
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,Six half terms,CPPO at 31 March,State-funded primary,78,28576,2391,8.4,1016,3.6,1375,4.8,21,26.9,0,0
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,Six half terms,CPPO at 31 March,Total,140,48484,6025,12.4,3643,7.5,2382,4.9,42,30,8,5.7
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,Six half terms,CPPO at 31 March,State-funded secondary,62,21862,3396,15.5,1975,9,1421,6.5,24,38.7,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,Six half terms,CPPO at 31 March,State-funded primary,70,24069,1478,6.1,1048,4.4,430,1.8,12,17.1,0,0
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,Six half terms,CPPO at 31 March,Total,109,38331,5357,14,2353,6.1,3004,7.8,54,49.5,7,6.4
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,Six half terms,CPPO at 31 March,State-funded secondary,40,13213,2697,20.4,1090,8.2,1607,12.2,30,75,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,Six half terms,CPPO at 31 March,State-funded primary,65,23915,2186,9.1,1074,4.5,1112,4.6,21,32.3,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,312,Hillingdon,E09000017,Six half terms,CPPO at 31 March,Total,204,71873,9064,12.6,4829,6.7,4235,5.9,81,39.7,11,5.4
