time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,six half terms,CLA 12 months at 31 March,Total,257,91203,8602,9.4,6205,6.8,2397,2.6,83,32.3,13,5.1
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,six half terms,CLA 12 months at 31 March,State-funded secondary,119,40979,6070,14.8,4044,9.9,2026,4.9,60,50.4,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,six half terms,CLA 12 months at 31 March,State-funded primary,110,40687,1333,3.3,1191,2.9,142,0.3,13,11.8,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,six half terms,CLA 12 months at 31 March,Total,314,111891,11134,10,7503,6.7,3631,3.2,90,28.7,18,5.7
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,six half terms,CLA 12 months at 31 March,State-funded secondary,129,45083,5599,12.4,4358,9.7,1241,2.8,54,41.9,6,4.7
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,six half terms,CLA 12 months at 31 March,State-funded primary,139,50543,1477,2.9,1126,2.2,351,0.7,11,7.9,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,six half terms,CLA 12 months at 31 March,Total,126,45340,2870,6.3,2188,4.8,682,1.5,31,24.6,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,six half terms,CLA 12 months at 31 March,State-funded secondary,62,21984,1843,8.4,1337,6.1,506,2.3,20,32.3,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,six half terms,CLA 12 months at 31 March,State-funded primary,49,18191,545,3,498,2.7,47,0.3,6,12.2,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,six half terms,CLA 12 months at 31 March,Total,171,60831,5723,9.4,4802,7.9,921,1.5,61,35.7,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,six half terms,CLA 12 months at 31 March,State-funded secondary,84,29925,3223,10.8,2658,8.9,565,1.9,35,41.7,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,six half terms,CLA 12 months at 31 March,State-funded primary,56,20082,1090,5.4,983,4.9,107,0.5,11,19.6,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,six half terms,CLA 12 months at 31 March,Total,146,52252,3525,6.7,3107,5.9,418,0.8,36,24.7,c,c
