LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
344,Wirral,344,5,North West,343,Very Close,841,Very Close,808,Very Close,342,Very Close,392,Very Close,807,Very Close,359,Very Close,888,Very Close,381,Very Close,840,Very Close,
350,Bolton,350,5,North West,382,Very Close,831,Very Close,332,Very Close,357,Very Close,354,Very Close,894,Very Close,381,Very Close,383,Very Close,372,Very Close,331,Very Close,
351,Bury,351,5,North West,381,Extremely Close,888,Very Close,808,Very Close,343,Very Close,356,Very Close,877,Very Close,334,Very Close,891,Very Close,886,Very Close,896,Very Close,
352,Manchester,352,5,North West,892,Very Close,801,Close,852,Close,330,Somewhat close,355,Somewhat close,851,Somewhat close,373,Somewhat close,341,Somewhat close,336,Somewhat close,391,Somewhat close,
353,Oldham,353,5,North West,354,Very Close,380,Close,335,Close,357,Close,382,Close,350,Close,831,Close,332,Close,889,Close,372,Close,
354,Rochdale,354,5,North West,353,Very Close,357,Very Close,350,Very Close,335,Very Close,382,Very Close,806,Very Close,372,Very Close,371,Very Close,831,Very Close,861,Very Close,
355,Salford,355,5,North West,341,Very Close,806,Very Close,393,Very Close,391,Very Close,805,Very Close,373,Very Close,394,Very Close,357,Very Close,390,Very Close,876,Very Close,
356,Stockport,356,5,North West,896,Very Close,334,Very Close,877,Very Close,937,Very Close,881,Very Close,885,Very Close,351,Very Close,888,Very Close,886,Very Close,802,Very Close,
357,Tameside,357,5,North West,372,Very Close,807,Very Close,371,Very Close,812,Very Close,359,Very Close,342,Very Close,370,Very Close,394,Very Close,841,Very Close,390,Very Close,
358,Trafford,358,5,North West,919,Very Close,305,Very Close,334,Very Close,356,Very Close,867,Very Close,823,Very Close,816,Very Close,895,Very Close,850,Very Close,825,Very Close,
359,Wigan,359,5,North West,342,Extremely Close,372,Extremely Close,807,Very Close,371,Very Close,370,Very Close,384,Very Close,808,Very Close,332,Very Close,357,Very Close,812,Very Close,
370,Barnsley,370,9,Yorkshire and the Humber,807,Extremely Close,371,Very Close,359,Very Close,372,Very Close,812,Very Close,384,Very Close,342,Very Close,840,Very Close,394,Very Close,357,Very Close,
371,Doncaster,371,9,Yorkshire and the Humber,372,Extremely Close,370,Very Close,812,Very Close,359,Very Close,384,Very Close,357,Very Close,813,Very Close,807,Very Close,332,Very Close,894,Very Close,
372,Rotherham,372,9,Yorkshire and the Humber,371,Extremely Close,359,Extremely Close,332,Very Close,357,Very Close,370,Very Close,894,Very Close,813,Very Close,807,Very Close,812,Very Close,384,Very Close,
373,Sheffield,373,9,Yorkshire and the Humber,831,Very Close,383,Very Close,851,Very Close,350,Very Close,894,Very Close,879,Very Close,852,Very Close,874,Very Close,357,Very Close,381,Very Close,
380,Bradford,380,9,Yorkshire and the Humber,354,Close,353,Close,889,Close,382,Close,335,Close,874,Close,831,Close,350,Close,332,Close,894,Close,
381,Calderdale,381,9,Yorkshire and the Humber,888,Extremely Close,808,Extremely Close,351,Extremely Close,841,Very Close,891,Very Close,830,Very Close,343,Very Close,382,Very Close,359,Very Close,383,Very Close,
382,Kirklees,382,9,Yorkshire and the Humber,350,Very Close,381,Very Close,332,Very Close,351,Very Close,831,Very Close,354,Very Close,808,Very Close,383,Very Close,888,Very Close,894,Very Close,
