time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_child,Started_episodes,Started_child,Ended_episodes,Ended_child,At31_episodes,awaiting_assessment
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Children in Need,3956,3645,2008,1877,1985,1838,1971,98
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Children in Need,11828,10874,6893,6340,5674,5285,6154,231
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Children in Need,2603,2335,1550,1371,1402,1253,1201,47
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Children in Need,8605,7705,5335,4910,3079,2777,5526,1569
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Children in Need,1851,1707,1151,1068,1023,953,828,76
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Children in Need,1994,1822,1158,1067,711,655,1283,355
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Children in Need,1588,1532,592,584,469,459,1119,27
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Children in Need,5336,4900,2709,2508,2890,2708,2446,35
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Children in Need,5117,4846,2417,2312,2094,2023,3023,86
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Children in Need,9270,8076,6608,5772,6067,5377,3203,63
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Children in Need,6379,6068,3242,3137,2543,2461,3836,150
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Children in Need,3469,3357,1517,1483,1292,1265,2177,128
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Children in Need,8496,7811,5031,4683,4354,4081,4142,226
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Children in Need,26,24,17,17,10,9,16,c
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Children in Need,1853,1747,892,863,599,588,1254,36
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Children in Need,3618,3424,1674,1597,1612,1549,2006,35
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Children in Need,5105,4846,2650,2559,1693,1655,3412,186
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Children in Need,2958,2797,1568,1502,1258,1221,1700,86
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Children in Need,3137,2893,1582,1480,1438,1340,1699,191
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Children in Need,2680,2463,1347,1232,1319,1234,1361,26
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Children in Need,4167,3986,1836,1766,1795,1746,2372,33
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Children in Need,3069,2890,1408,1342,1261,1224,1808,15
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Children in Need,102,102,27,27,33,33,69,c
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Children in Need,4034,3823,2016,1925,1850,1806,2184,102
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Children in Need,2297,2185,1082,1044,1017,996,1280,135
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Children in Need,3854,3659,1968,1879,1875,1800,1979,24
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Children in Need,3308,3161,1598,1544,1451,1421,1857,70
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Children in Need,1488,1388,757,726,726,694,762,27
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Children in Need,3959,3811,1648,1594,1547,1523,2412,82
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Children in Need,5090,4783,2755,2590,2117,1973,2973,74
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Children in Need,6640,6276,3449,3296,3203,3066,3437,94
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Children in Need,4196,4006,1826,1760,1716,1669,2480,c
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Children in Need,5814,5168,3444,3029,2976,2601,2838,102
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Children in Need,2724,2601,1214,1175,1059,1035,1665,28
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Children in Need,2061,1981,865,826,781,748,1280,145
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Children in Need,4983,4677,2889,2738,2405,2328,2578,63
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Children in Need,3990,3811,2001,1928,2012,1958,1978,85
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Children in Need,3298,3160,1730,1651,1399,1366,1899,41
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Children in Need,5188,5006,2584,2505,2467,2422,2721,261
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Children in Need,5185,4523,2845,2475,2445,2147,2740,210
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Children in Need,10132,9238,5785,5276,5495,5119,4637,108
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Children in Need,4125,3936,2193,2117,1547,1506,2578,17
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Children in Need,5229,4914,2637,2486,2708,2587,2521,95
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Children in Need,4051,3935,1824,1787,1505,1481,2546,52
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Children in Need,2695,2601,1310,1272,1239,1225,1456,56
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Children in Need,4483,4278,2156,2091,1934,1897,2549,52
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Children in Need,5033,4641,2622,2401,2470,2263,2563,60
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Children in Need,3390,3200,1792,1704,1800,1733,1590,33
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Children in Need,1847,1780,979,958,845,823,1002,11
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Children in Need,2316,2224,1271,1226,1019,990,1297,45
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Children in Need,4775,4558,2395,2304,2426,2346,2349,104
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Children in Need,1817,1708,936,907,853,826,964,12
