time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202425,Academic year,Local authority,E92000001,England,E12000002,North West,943,Westmorland and Furness,E06000064,CLA 12 months at 31 March,Revised,24,695,29,c,c,7,29.2,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA 12 months at 31 March,Revised,61,1201.5,19.7,10,16.4,15,24.6,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA 12 months at 31 March,Revised,55,1002.75,18.2,c,c,9,16.4,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA 12 months at 31 March,Revised,26,351.5,13.5,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA 12 months at 31 March,Revised,90,1360.75,15.1,8,8.9,11,12.2,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA 12 months at 31 March,Revised,23,335,14.6,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA 12 months at 31 March,Revised,35,544.75,15.6,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA 12 months at 31 March,Revised,25,398.5,15.9,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA 12 months at 31 March,Revised,57,1082.25,19,c,c,12,21.1,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CLA 12 months at 31 March,Revised,44,946.75,21.5,c,c,11,25,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,CLA 12 months at 31 March,Revised,107,2304.25,21.5,12,11.2,21,19.6,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA 12 months at 31 March,Revised,30,283,9.4,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA 12 months at 31 March,Revised,19,206,10.8,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E06000065,CLA 12 months at 31 March,Revised,23,208.75,9.1,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA 12 months at 31 March,Revised,40,724,18.1,c,c,7,17.5,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CLA 12 months at 31 March,Revised,45,610,13.6,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,CLA 12 months at 31 March,Revised,36,596.75,16.6,c,c,7,19.4,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CLA 12 months at 31 March,Revised,11,156,14.2,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,CLA 12 months at 31 March,Revised,37,581.5,15.7,c,c,7,18.9,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,CLA 12 months at 31 March,Revised,81,1262.25,15.6,c,c,12,14.8,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,CLA 12 months at 31 March,Revised,42,733.25,17.5,c,c,10,23.8,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,CLA 12 months at 31 March,Revised,39,701.5,18,c,c,9,23.1,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,CLA 12 months at 31 March,Revised,39,771.25,19.8,c,c,6,15.4,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,North Northamptonshire,E06000061,CLA 12 months at 31 March,Revised,45,c,c,c,c,c,c,x,x,x,x,x,x,x,x,x
