time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_child,ICPC,ICPC_child,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Section 47s and Initial Child Protection Conferences,2581,2180,911,899,35,691,99,86,13,15,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Section 47s and Initial Child Protection Conferences,1031,862,390,384,c,355,21,c,14,15,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Section 47s and Initial Child Protection Conferences,2561,1989,677,650,60,497,65,55,13,15,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Section 47s and Initial Child Protection Conferences,17,16,8,8,c,c,0,0,8,13,14
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Section 47s and Initial Child Protection Conferences,519,460,230,230,22,187,13,8,13,15,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Section 47s and Initial Child Protection Conferences,1478,1234,483,472,61,400,c,c,12,13,14
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Section 47s and Initial Child Protection Conferences,1393,1184,468,442,40,383,26,19,12,13,14
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Section 47s and Initial Child Protection Conferences,1191,939,377,357,58,232,57,28,12,13,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Section 47s and Initial Child Protection Conferences,820,787,248,245,c,197,25,c,14,15,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Section 47s and Initial Child Protection Conferences,1074,768,220,217,8,194,7,11,14,15,15
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Section 47s and Initial Child Protection Conferences,1060,909,481,476,19,402,39,21,13,14,15
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Section 47s and Initial Child Protection Conferences,895,767,288,282,54,185,18,31,11,13,15
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Section 47s and Initial Child Protection Conferences,c,c,c,c,c,0,0,0,9,9,9
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Section 47s and Initial Child Protection Conferences,1352,1203,332,328,44,206,25,57,12,14,15
